1, 2823.15, 637.33, 9424.50, 7806.75, 2266.19
101, 1073.40, 244.31, 2381.35, 1922.25, 742.05
11, 296.15, 64.91, 806.85, 434.50, 332.80
111, 1745.10, 341.49, 5207.40, 3595.95, 1506.88
115, 1119.35, 249.56, 3010.10, 2549.95, 884.10
123, 557.70, 145.49, 1150.20, 686.75, 389.69
139, 1857.85, 336.95, 5776.15, 3499.20, 1596.43
147, 2262.75, 470.95, 9191.85, 7829.10, 2250.89
15, 3023.52, 669.83, 9835.05, 8425.24, 2320.61
17, 347.15, 86.38, 1592.50, 1147.05, 500.63
23, 2170.60, 436.67, 9751.45, 8451.20, 2318.46
41, 1097.75, 249.73, 2863.40, 2371.15, 868.19
45, 115.20, 37.54, 174.35, 91.05, 73.52
46, 626.15, 164.50, 1235.15, 827.10, 412.21
51, 1262.35, 266.29, 2365.70, 2015.95, 751.40
53, 909.25, 227.52, 2797.95, 2351.85, 860.70
55, 286.95, 66.58, 833.15, 443.40, 379.75
69, 1285.30, 269.53, 2850.25, 2328.25, 875.17
85, 1811.85, 344.19, 5402.20, 3471.30, 1555.96
95, 41.75, 20.73, 108.65, 50.35, 51.69
